npsn,nama_sekolah,alamat,kelurahan,kecamatan,jumlah_siswa,jumlah_guru,kepala_sekolah,telp_sekolah,akreditasi,latitude,longitude
20112284,SMA SEVILLA,Jl. Pulo Mas jaya pacuan Kuda,Kayu Putih,Pulo Gadung,90,,,,Tidak Terakreditasi,,
20112406,SMA Plus Khadijah Islamic School,Jl. Batan I No. 12,Lebak Bulus,Cilandak,74,19,"Usman, M.Pd",021 75900377,B,-6.292819,106.770798
20112433,SMA Jakarta Islamic School,Jl. Manunggal I komplek Kodam,Cipinang Melayu,Makasar,73,10,AUP ALMAUDUDI,021 86612154,A,-6.281969,106.854858
20112435,SMA Sinar Dharma,Jl. K.H. Moh. Mansyur No. 29,Kredang,Tambora,72,21,"Samirin, M.Pd.",021 6394636,B,-6.149403,106.807495
20112438,SMA Citra Kasih,Jl. Citra Garden City 5 Blok H 3,Tegal Alur,Kalideres,179,15,Rohajah Ramli,021 22556531,A,-6.126417,106.705421
20112462,SMA Bina Bangsa School,"Jl. Walet Elok 8, Blok R8 No.1",Kapuk Muara,Penjaringan,363,6,Samuel Dwioktorianto Effendy,021 5880045,Tidak Terakreditasi,,
20112503,SMA Kristen Calvin,Jl. Industri Blok B.14 Kav. 1,Gunung Sahari Selatan,Kemayoran,170,27,"Ev. Dra. Dewi Maya M. Sianturi, M.Th.",021 65867812,A,-6.152765,106.840866
20177804,SMAK Penabur Kelapa Gading,Jl. Boulevard Bukit Gading Raya Kav. A5-A8,Kelapa Gading Barat,Kelapa Gading,1,33,,021 45840602,A,-6.165558,106.891266
20177805,SMAK 8 Penabur,Jl. Tanjung Duren Raya No. 4 Blok D,Tanjung Duren Utara,Grogol Petamburan,38,21,Shirley Puspitawati,021 5602042,A,-6.173462,106.788795
20177806,SMA Taruna Persada,Jl. Masjid No. 29,Gedong,Pasar Rebo,56,18,,021 87797729,B,-6.299305,106.857834
20177837,SMA Saint John's School,Taman Villa Meruya Blok D1-1,Meruya Selatan,Kembangan,30,16,"Ir. Paulus Pontoh, MBA",021 58902399,Tidak Terakreditasi,-6.314248,106.682938
20177916,SMA Lentera Indonesia,Jl. Sultan Iskandar Muda No. 98,Kebayoran Lama Utara,Kebayoran Lama,35,13,"Drs.E.M.Faref,MA",021 729177,A,-6.113960,106.916992
69754377,SMA Narada,Jl. Kosambi Baru Blok A-Ext. 1,Duri Kosambi,Cengkareng,0,27,William Widjaja,021 54377225,Tidak Terakreditasi,-6.168918,106.719749
69755458,SMA Pelangi Kasih,"Jl. Pantai Indah Timur, Taman Grisenda Blok A1/28",Kapuk Muara,Penjaringan,215,34,RONNY DEDDY K RONDONUWU,021 5884351,Tidak Terakreditasi,-6.129984,106.753944
69757184,SMA Kanaan Global School,Taman Surya III Jl. Boulevard L2,Pegadungan,Kalideres,69,15,Linny Andreas,021 6197250,A,-6.133696,106.716766
69759048,SMA Bina Kusuma Mulia,Citra I Blok i-8,Kalideres,Kalideres,59,20,"Drs.George.L.Tuhumury,MPd",021 5418104,B,-6.143010,106.696411
69762654,SMA Djuwita,Jl. Gardena Utama Raya,Kalideres,Kalideres,0,6,Nawang Kurnianingtyas,021 5415501,Tidak Terakreditasi,,
69810047,SMA Universal,Jl. Boulevard Barat Raya No.1,Kelapa Gading Barat,Kelapa Gading,0,15,"Kimico Margaretha, S.S, S.H",021 4528121,Tidak Terakreditasi,-6.155139,106.896599
69816348,SMA Lia Stephanie,Komplek Taman Surya V Blok EE2 No. 20-27,Pegadungan,Kalideres,106,16,"FLORENTIANUS AME, S.Pd",021 54390347,A,-6.132667,106.716408
69829193,SMA Kristen Kasih Kemuliaan,Jl. Perumahan Taman Surya V Blok RR No. 1,Kalideres,Kalideres,40,1,dr. DAMARIS DERRY S.,"021 29670988, 021 29670989, 021 29670990",A,,
69856892,SMA NJIS,JL. BOULEVARD BUKIT GADING RAYA,Kelapa Gading Barat,Kelapa Gading,27,7,Markus Baloun,021 45865222,Tidak Terakreditasi,,
69873573,SMA Westin,Teluk Gong Jl. G. No. 408,Pejagalan,Penjaringan,31,9,ELFINDAH PRINCES.M. Kom.,,Tidak Terakreditasi,-6.138079,106.779381
69874086,SMA Pelita Harapan Kemang Village,Jl. Pangeran Antasari N0. 36,Mampang Prapatan,Mampang Prapatan,57,11,Daisy Hudono,021 29056789,A,-6.262115,106.814445
69879021,SPK Saint Peter School,Jl. Boulevard Timur Raya No. 8,Pegangsaan Dua,Kelapa Gading,9,13,"Diana Darmosaputro, S.Pd",021 4524246,Tidak Terakreditasi,-6.166757,106.915993
69883248,SMA Raffles Christian School,Jl. Gedung Hijau Raya I No.1,Pondok Pinang,Kebayoran Lama,201,1,Tabroni,021 75903342,Tidak Terakreditasi,,
69883577,SMA Nationalhigh Jakarta School,Jl. Raya Pos Pengumben No.41,Srengseng,Kembangan,48,11,"Simon Audry Halomoan Siagian, SH., MH",021 58902962,Tidak Terakreditasi,-6.216000,106.764000
69888992,SMA Bunda Mulia School,JL. LODAN RAYA NO. 2,Ancol,Pademangan,78,1,Ignatius Rico Camal Fransz,021 6909742,Tidak Terakreditasi,,
69889003,SMA New Zealand Independent School,Jl. Kemang Raya no. 70,Bangka,Mampang Prapatan,1,1,Gerald Inga Paipai Tamou,021 7183111,Tidak Terakreditasi,,
69889089,SMA Australian Independent School,Jl. Pejaten Barat Raya No. 69,Pasar Minggu,Pasar Minggu,97,28,Paul Anthony Bawden,021 7824024,Tidak Terakreditasi,,
69889105,SMA Mahatma Gading Intercultural,Jl. Boulevard Bgr Komp Villa Gading Indah Blok. Q,Kelapa Gading Barat,Kelapa Gading,47,18,DWITA R. VASWANI,021 45861031,Tidak Terakreditasi,,
69917278,SMA Mentari,Jl. H. Jian No. 6,Cipete Utara,Kebayoran Baru,165,,,,,,
69923322,SMA Raffles Christian School,Jl. Meruya Ilir No.89,Meruya Utara,Kembangan,39,,,021 5845671,Tidak Terakreditasi,,
69939320,SMA Raffles Christian School,Jl. Gading Pelangi Indah No. 1,Pegangsaan Dua,Kelapa Gading,86,21,"Prinastining Dyah Wigati, S.Pd",021 45874222,Tidak Terakreditasi,,
69955414,SMA EMIISc,Jl. Raya Condet,Batu Ampar,Kramat Jati,0,9,"LALU JULKARNAIN, S.Pd",021 87792556,Tidak Terakreditasi,-6.291449,106.856369
96853555,SMA Jakarta Intercultural School,Jl. Terogong Raya No. 33,Cilandak Barat,Cilandak,139,13,Stephen John Clark,021 76925555,A,,
NP490494,SMA Makarios,Jl. Raya Kembangan Baru No.1,Kembangan Selatan,Kembangan,0,,,021 5826967,Tidak Terakreditasi,,
NP52511,SMA Islam Al Jabr,Jl. Bango 2 No. 30,Pondok Labu,Cilandak,47,20,Tarra Marci Abuchari,021 75913675,A,,
NP645311,SMA JAC,Jl. Pegangsaan Dua,Pegangsaan Dua,Kelapa Gading,16,16,"Anggrarina Saputri, S.Pd",021 22860988,Tidak Terakreditasi,,
NP683661,SMA Kairos Gracia,Citra Garden 7 Blok B 1,Kalideres,Kalideres,131,14,"Fenny Soeprijadi,S.E",021 54360630,Tidak Terakreditasi,-6.146835,106.701744
NP774214,SMA Heritage School Jakarta,Jl. Letjen Soepomo No.34,Grogol Utara,Kebayoran Lama,0,,,021 30066858,Tidak Terakreditasi,-6.221769,106.783005
NP916275,SMA Ichthus,Jl. H. Batong 1-1A/Jl. Caringin Barat 1,Cilandak Barat,Cilandak,33,1,Wendy Armunando,021 75908820,Tidak Terakreditasi,,
NP933833,SMA Islam Terpadu Almaka Jakarta,Jl. Peta Selatan No.1,Kalideres,Kalideres,20,10,"Sri Hartati, M.Pd",,Tidak Terakreditasi,,
,SMA Garuda Cendekia,Jl. Bangka VII Dalam No. 14,Pela Mampang,Mampang Prapatan,154,32,"Iwan Purnanto, S.Pd",021 71796269,A,-6.247827,106.812126
,SMA SIS Pantai Indah Kapuk,Jl. Mandara Indah No. 4,Kapuk Muara,Penjaringan,98,15,PRESTON MICHAEL BRIAN,,A,,
